MapCode,SPECIES_SYMBOL,COMMON_NAME,E_SPGRPCD,age,biomass
,QUVI,live oak,27,13.019595368810904,1511.4535975338392
,PRGL2,honey mesquite ,48,9.88550715934578,457.61715822638826
